serviceid,servicecompanyname,servicename,servicedetails
75,XYZ Repairs,Brake Inspection,Detailed inspection of brake system
76,Speedy Repairs,Brake Replacement,Thorough inspection of transmission components
77,Electro Tune,Car Wash,Quick oil change with minimal waiting time
78,QuickOil,Transmission Check,Scheduled maintenance and inspection
79,QuickOil,Brake Replacement,Professional coolant system flushing
80,Speedy Repairs,Transmission Check,Fast and efficient oil change service
81,Sunshine Detailing,Transmission Check,Thorough inspection of transmission components
82,Sparkle Wash,Brake Inspection,Deep cleaning of the vehicle interior
83,ABC Service Company,Car Wash,Scheduled maintenance and inspection
84,XYZ Repairs,Coolant Flush,Check and repair electrical components
85,Coolant Experts,Interior Detailing,Check and repair electrical components
86,Express Oil Change,Transmission Check,Detailed inspection of brake system
87,Brake Master,Transmission Check,Check and repair electrical components
88,ABC Service Company,Regular Maintenance,Professional coolant system flushing
89,Brake Master,Regular Maintenance,Fast and efficient oil change service
90,Sparkle Wash,Transmission Check,Quick oil change with minimal waiting time
91,XYZ Repairs,Coolant Flush,Exterior and interior cleaning services
92,Sparkle Wash,Coolant Flush,Quick oil change with minimal waiting time
93,Speedy Repairs,Brake Replacement,Professional coolant system flushing
94,Coolant Experts,Car Wash,Scheduled maintenance and inspection
95,Sparkle Wash,Regular Maintenance,Quick oil change with minimal waiting time
96,QuickOil,Express Oil Change,Quick oil change with minimal waiting time
97,XYZ Repairs,Coolant Flush,Professional coolant system flushing
98,ABC Service Company,Brake Replacement,Deep cleaning of the vehicle interior
99,Coolant Experts,Transmission Check,Detailed inspection of brake system
100,Electro Tune,Car Wash,Professional coolant system flushing
